epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,1001.07,0.57274,0.89202,0.99475,0,0,0,0,0,1072.09,0,0.000239444,0.000239444,0.000239444
33,1030.36,0.57057,0.95324,0.98251,0,0,0,0,0,1072.09,0,0.000234496,0.000234496,0.000234496
34,1058.4,0.64755,1.0278,0.98896,0,0,0,0,0,280.408,0,0.000228756,0.000228756,0.000228756
35,1090.1,0.50076,0.92159,0.90994,0,0,0,0,0,280.408,0,0.000222224,0.000222224,0.000222224
36,1116.29,0.56454,1.01002,0.91223,0,0,0,0,0,280.408,0,0.0002149,0.0002149,0.0002149
37,1142.99,0.49517,0.98109,0.92152,0,0,0,0,0,280.408,0,0.000206784,0.000206784,0.000206784
38,1170.43,0.61746,1.12377,1.01272,0,0,0,0,0,209.466,0,0.000197876,0.000197876,0.000197876
39,1201.1,0.47301,0.95345,0.89015,0,0,0,0,0,209.466,0,0.000188176,0.000188176,0.000188176
40,1229.15,0.38525,0.93022,0.90171,0,0,0,0,0,209.466,0,0.000177684,0.000177684,0.000177684
41,1255.7,0.36372,1.17011,0.93493,0,0,0,0,0,209.466,0,0.0001664,0.0001664,0.0001664
42,1283.5,0.5475,1.34052,1.07817,0,0,0,0,0,145.927,0,0.000154324,0.000154324,0.000154324
43,1313.96,0.51542,1.17806,0.90809,0,0,0,0,0,145.927,0,0.000141456,0.000141456,0.000141456
44,1340.97,0.44926,1.26367,0.88402,0,0,0,0,0,145.927,0,0.000127796,0.000127796,0.000127796
45,1368.35,0.51587,1.1731,0.91086,0,0,0,0,0,145.927,0,0.000113344,0.000113344,0.000113344
46,1394.45,0.45606,1.11407,0.85372,0,0,0,0,0,97.6012,0,9.81e-05,9.81e-05,9.81e-05
47,1426.17,0.41375,0.9429,0.90006,0,0,0,0,0,97.6012,0,8.2064e-05,8.2064e-05,8.2064e-05
48,1454.11,0.45335,0.91672,0.85753,0,0,0,0,0,97.6012,0,6.5236e-05,6.5236e-05,6.5236e-05
49,1481.66,0.40976,1.08641,0.89676,0,0,0,0,0,97.6012,0,4.7616e-05,4.7616e-05,4.7616e-05
50,1510.49,3.79894,4.52016,3.75741,0,0,0,0,0,27.9747,0,2.9204e-05,2.9204e-05,2.9204e-05
