epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8143,0.7038,2.82511,1.16242,0,0,0,0,0,46.2118,0,0,0,0
2,61.2026,0.82388,2.80642,1.15923,0,0,0,0,0,61.5123,0,1.9604e-05,1.9604e-05,1.9604e-05
3,92.4827,0.44136,1.66585,1.01527,0,0,0,0,0,93.9512,0,3.8416e-05,3.8416e-05,3.8416e-05
4,123.371,0.55033,1.2332,1.08576,0,0,0,0,0,97.5958,0,5.6436e-05,5.6436e-05,5.6436e-05
5,154.776,0.54799,1.18055,1.01301,0,0,0,0,0,72.9527,0,7.3664e-05,7.3664e-05,7.3664e-05
6,189.698,0.6357,1.72372,0.98795,0,0,0,0,0,90.0721,0,9.01e-05,9.01e-05,9.01e-05
7,228.238,0.53639,1.48386,0.91838,0,0,0,0,0,198.885,0,0.000105744,0.000105744,0.000105744
8,259.139,0.54513,1.8207,0.9947,0,0,0,0,0,150.87,0,0.000120596,0.000120596,0.000120596
9,293.921,0.46967,1.58728,0.97375,0,0,0,0,0,150.87,0,0.000134656,0.000134656,0.000134656
10,326.035,0.42285,2.17191,0.95803,0,0,0,0,0,349.891,0,0.000147924,0.000147924,0.000147924
11,363.034,0.51995,1.60375,0.98809,0,0,0,0,0,349.891,0,0.0001604,0.0001604,0.0001604
12,396.038,0.60705,1.81385,0.9613,0,0,0,0,0,260.26,0,0.000172084,0.000172084,0.000172084
13,432.359,0.55376,1.22838,0.97263,0,0,0,0,0,260.26,0,0.000182976,0.000182976,0.000182976
14,465.944,0.40396,1.65007,0.95084,0,0,0,0,0,110.642,0,0.000193076,0.000193076,0.000193076
15,498.735,0.56767,1.25107,0.91564,0,0,0,0,0,110.642,0,0.000202384,0.000202384,0.000202384
16,526.526,0.57719,1.65225,0.92217,0,0,0,0,0,413.689,0,0.0002109,0.0002109,0.0002109
17,558.591,0.65113,1.38357,1.01092,0,0,0,0,0,413.689,0,0.000218624,0.000218624,0.000218624
18,587.085,0.64425,1.16673,1.0058,0,0,0,0,0,557.073,0,0.000225556,0.000225556,0.000225556
19,618.985,0.52573,1.07316,0.96694,0,0,0,0,0,557.073,0,0.000231696,0.000231696,0.000231696
20,648.011,0.53434,1.39105,0.95954,0,0,0,0,0,909.872,0,0.000237044,0.000237044,0.000237044
21,679.711,0.57867,1.30036,0.9403,0,0,0,0,0,909.872,0,0.0002416,0.0002416,0.0002416
22,706.833,0.67774,1.60339,0.97908,0,0,0,0,0,974.173,0,0.000245364,0.000245364,0.000245364
23,738.06,0.53242,1.53219,0.97,0,0,0,0,0,974.173,0,0.000248336,0.000248336,0.000248336
24,766.18,0.61315,1.63996,0.99693,0,0,0,0,0,974.173,0,0.000250516,0.000250516,0.000250516
25,793.594,0.7184,1.53486,0.96874,0,0,0,0,0,479.321,0,0.000251904,0.000251904,0.000251904
26,824.219,0.536,0.94319,0.91059,0,0,0,0,0,479.321,0,0.0002525,0.0002525,0.0002525
27,852.211,0.51388,1.10794,0.92378,0,0,0,0,0,479.321,0,0.000252304,0.000252304,0.000252304
28,880.895,0.53698,1.14465,0.92425,0,0,0,0,0,1343.15,0,0.000251316,0.000251316,0.000251316
29,911.979,0.60367,1.29072,0.94494,0,0,0,0,0,1343.15,0,0.000249536,0.000249536,0.000249536
30,939.988,0.58526,1.13924,0.85991,0,0,0,0,0,1343.15,0,0.000246964,0.000246964,0.000246964
31,968.673,0.64145,1.15343,0.9419,0,0,0,0,0,1072.09,0,0.0002436,0.0002436,0.0002436
